; Effective Area Spectral Curve for GOES-17 SUVI FM2
; This file contains the all the components used in the
; computation of the effective area(lam):
; EA(lam) = PM(lam) * SM(lam) * EntFilt(lam) * FW1(lam) * ...
;           FW2(lam) * QE(lam) * Geom_Area
; Degradation due to contamination is not included
; 
; File Generated 12-Apr-2019 - Updated 19-Jun-2020
;-------------------------------------------------------
; Geometric Area = 19.362316 cm^2
; EA_ThinOpen(131.2A) = 7.420613e-01 > 4.280000e-02
; Wavelength[A]	EA_Thin/Open[cm^2]	EA_Thin/Thin[cm^2]	EA_Thick/Open[cm^2]
42.6	1.6671E-13	2.9911E-15	1.5160E-15
42.7	1.6456E-13	2.9357E-15	1.4926E-15
42.8	1.6291E-13	2.8894E-15	1.4738E-15
42.9	1.6193E-13	2.8552E-15	1.4611E-15
43	1.6378E-13	2.8710E-15	1.4739E-15
43.1	1.6450E-13	2.8671E-15	1.4766E-15
43.2	1.6396E-13	2.8411E-15	1.4680E-15
43.3	1.6115E-13	2.7763E-15	1.4390E-15
43.4	1.5956E-13	2.7330E-15	1.4212E-15
43.5	1.5909E-13	2.7092E-15	1.4133E-15
43.6	1.5663E-13	2.6520E-15	1.3879E-15
43.7	1.6118E-13	2.7766E-15	1.4245E-15
43.8	1.5797E-13	2.7060E-15	1.3926E-15
43.9	1.6134E-13	2.7482E-15	1.4186E-15
44	1.2667E-12	2.1468E-14	1.1112E-14
44.1	1.2285E-12	2.0718E-14	1.0753E-14
44.2	1.1952E-12	2.0057E-14	1.0438E-14
44.3	1.2794E-12	2.1364E-14	1.1148E-14
44.4	1.1091E-12	1.8428E-14	9.6423E-15
44.5	1.1918E-12	1.9704E-14	1.0338E-14
44.6	1.2084E-12	1.9912E-14	1.0466E-14
44.7	1.2725E-12	2.0945E-14	1.1016E-14
44.8	1.2858E-12	2.1141E-14	1.1126E-14
44.9	1.3012E-12	2.1371E-14	1.1254E-14
45	1.3444E-12	2.2055E-14	1.1622E-14
45.1	1.3700E-12	2.2451E-14	1.1838E-14
45.2	1.4877E-12	2.4352E-14	1.2849E-14
45.3	1.4358E-12	2.3475E-14	1.2394E-14
45.4	1.4982E-12	2.4469E-14	1.2927E-14
45.5	1.5302E-12	2.4965E-14	1.3197E-14
45.6	1.7230E-12	2.8077E-14	1.4852E-14
45.7	1.6429E-12	2.6744E-14	1.4156E-14
45.8	1.6317E-12	2.6532E-14	1.4052E-14
45.9	1.8202E-12	2.9564E-14	1.5668E-14
46	1.8161E-12	2.9465E-14	1.5625E-14
46.1	1.9628E-12	3.1811E-14	1.6880E-14
46.2	2.3585E-12	3.8182E-14	2.0273E-14
46.3	2.8662E-12	4.6350E-14	2.4626E-14
